"";"Version..0...Fixed.Task.";"Task";"Concept";"Att.1...Doppelseitiges.Drucken";"Att.2...Scan.Funktion";"Att.3...Eco.Modus";"Att.4...Kosten.pro.Seite..in.cent.";"Att.5...Heft..und.Lochfunktion";"Att.6...Sterne.Bewertung.von.1..schlecht..bis.5..gut.";"Att.7...Preis"
"292";6;11;4;2;1;2;2;1;4;5
"293";6;12;1;2;2;2;2;1;3;5
"294";6;12;2;1;1;2;1;2;3;2
"295";6;12;3;1;2;1;1;2;2;5
"296";6;12;4;2;2;1;2;2;4;4
"297";7;1;1;2;1;2;2;2;1;3
"298";7;1;2;1;1;1;2;2;3;2
"299";7;1;3;1;1;2;2;1;4;1
"300";7;1;4;1;2;2;2;1;4;3
"301";7;2;1;1;2;2;3;1;1;4
"302";7;2;2;2;1;2;3;1;2;1
"303";7;2;3;2;1;2;3;2;1;3
"304";7;2;4;1;1;1;2;2;4;3
"305";7;3;1;2;2;1;1;1;1;4
"306";7;3;2;1;2;2;2;2;2;4
"307";7;3;3;2;1;2;2;1;2;1
"308";7;3;4;2;2;2;2;2;2;4
"309";7;4;1;2;1;1;2;2;3;3
"310";7;4;2;1;1;1;1;2;4;5
"311";7;4;3;2;2;2;3;1;4;1
"312";7;4;4;1;2;2;3;1;1;1
"313";7;5;1;2;2;1;1;2;1;4
"314";7;5;2;1;1;1;3;2;3;4
"315";7;5;3;2;1;1;3;1;3;3
"316";7;5;4;1;2;2;3;1;2;5
"317";7;6;1;1;2;2;1;1;4;5
"318";7;6;2;1;1;2;2;2;3;5
"319";7;6;3;1;2;1;3;2;3;4
"320";7;6;4;1;1;2;3;2;2;5
"321";7;7;1;1;2;1;3;1;3;5
"322";7;7;2;1;1;2;3;1;2;3
"323";7;7;3;1;2;1;2;2;3;1
"324";7;7;4;2;2;2;1;2;4;5
"325";7;8;1;1;2;1;1;1;1;5
"326";7;8;2;1;1;2;1;1;2;1
"327";7;8;3;1;2;1;1;1;4;3
"328";7;8;4;2;1;1;2;1;1;2
"329";7;9;1;1;1;2;3;1;4;3
"330";7;9;2;2;2;2;1;2;4;1
"331";7;9;3;1;2;2;3;2;3;5
"332";7;9;4;1;1;1;1;1;3;2
"333";7;10;1;2;1;1;2;1;4;2
"334";7;10;2;2;1;1;2;1;4;3
"335";7;10;3;1;1;1;3;2;3;4
"336";7;10;4;2;1;1;2;2;1;5
"337";7;11;1;1;1;1;2;1;3;1
"338";7;11;2;1;1;1;3;2;4;2
"339";7;11;3;2;1;1;2;2;1;3
"340";7;11;4;2;2;2;2;2;2;4
"341";7;12;1;2;2;2;2;2;2;5
"342";7;12;2;2;1;1;3;1;2;4
"343";7;12;3;1;2;2;3;1;1;4
"344";7;12;4;1;2;2;2;1;1;5
"345";8;1;1;2;1;2;3;2;2;4
"346";8;1;2;2;2;2;1;2;3;5
"347";8;1;3;1;2;1;3;2;1;1
"348";8;1;4;2;2;1;2;1;2;3
"349";8;2;1;2;1;2;1;2;2;5
"350";8;2;2;1;1;2;3;1;1;5
"351";8;2;3;2;1;1;1;2;1;4
"352";8;2;4;1;2;2;3;1;4;3
"353";8;3;1;1;1;2;2;1;2;2
"354";8;3;2;1;1;1;3;2;1;5
"355";8;3;3;2;1;2;3;2;3;1
"356";8;3;4;1;1;1;1;2;4;2
"357";8;4;1;2;1;1;3;2;4;4
"358";8;4;2;2;1;2;3;2;4;2
"359";8;4;3;1;1;2;2;1;4;1
"360";8;4;4;2;2;1;3;1;2;5
"361";8;5;1;2;2;1;3;2;1;3
"362";8;5;2;1;1;2;3;2;1;1
"363";8;5;3;2;2;2;1;1;1;4
"364";8;5;4;2;2;1;3;1;2;3
"365";8;6;1;1;2;2;2;2;4;4
"366";8;6;2;2;1;1;3;2;3;3
"367";8;6;3;1;1;1;3;2;1;1
"368";8;6;4;2;1;2;1;1;1;2
"369";8;7;1;1;1;1;1;1;2;5
"370";8;7;2;1;1;2;1;2;1;1
"371";8;7;3;1;2;2;2;2;4;3
"372";8;7;4;1;1;2;3;1;3;4
"373";8;8;1;2;1;1;2;2;1;1
"374";8;8;2;2;2;2;3;1;3;5
"375";8;8;3;2;2;2;1;1;1;2
"376";8;8;4;1;2;1;3;2;3;4
"377";8;9;1;2;2;1;3;2;3;3
"378";8;9;2;2;2;2;3;1;3;5
"379";8;9;3;2;2;2;1;2;1;2
"380";8;9;4;1;1;1;2;1;2;2
"381";8;10;1;1;1;2;3;1;3;5
"382";8;10;2;1;1;2;1;2;2;1
"383";8;10;3;2;2;1;3;2;4;1
"384";8;10;4;2;1;2;2;2;1;4
"385";8;11;1;2;2;1;3;1;1;3
"386";8;11;2;2;2;2;2;1;2;5
"387";8;11;3;2;2;1;2;2;3;1
"388";8;11;4;1;1;1;2;2;2;1
"389";8;12;1;1;2;1;1;1;3;1
"390";8;12;2;2;1;1;1;2;3;3
"391";8;12;3;2;2;2;2;2;2;4
"392";8;12;4;1;1;2;3;2;4;4
"393";9;1;1;1;2;1;1;2;2;4
